"id","sex","birthdate","status","mom","dad","number_littermates","litrank","birthYear","clan","rank","stan_rank","dengrad","weaned","disappeared","disappeared_event_status","dispersal","mating"
"clus","m",2014-10-08,"r","arba",NA,"1","1",2014,"happy.zebra",2,0.86,2015-05-16,2015-07-04,2018-04-26,"dls",NA,NA
"cly","u",1990-09-30,"r","sr",NA,"1","1",1990,"talek",9,0.2,NA,NA,1990-11-03,"dead",NA,NA
"cnas","u",2011-07-04,"r","csby",NA,"1","1",2011,"happy.zebra",10,-0.63,NA,NA,2012-02-14,"dls",NA,NA
"cnt","u",1997-03-24,"r","gol",NA,"1",NA,1997,"talek",23,-0.57,NA,NA,1997-05-02,"dls",NA,NA
"coel","f",2010-08-31,"r","koi",NA,"1","1",2010,"happy.zebra",1,1,2011-05-16,2011-05-18,2023-01-09,"dls",NA,2013-08-25
"cokl","m",2014-05-16,"r","ring",NA,"1","1",2014,"happy.zebra",15,-0.86,2015-05-12,2015-05-06,2015-12-01,"dls",NA,NA
"colo","m",2010-09-09,"r","joni",NA,"1",NA,2010,"serena.n",6,0.41,NA,2011-03-11,2011-06-04,"dls",NA,NA
"cont","m",2009-08-09,"r","bart",NA,"0",NA,2009,"serena.s",4,0.57,2010-09-04,2010-02-28,2013-01-03,"dls",NA,NA
"coo","f",1998-12-03,"r","kip","tz","1","1",1998,"talek",8,0.5,1999-07-22,1999-06-26,2005-12-07,"dead",NA,2002-01-20
"cop","u",2002-05-07,"r","ath",NA,NA,NA,2002,"talek",3,0.73,NA,NA,2002-06-29,"dls",NA,NA
"cori","u",2018-01-01,"r","snug",NA,"1","2",2018,"serena.s",11,-0.11,NA,NA,2018-01-17,"dls",NA,NA
"cous","m",2003-03-03,"r","ali",NA,NA,NA,2003,"talek",8,0.12,2003-10-28,2004-02-14,2012-06-18,"",2007-07-06,NA
"cpa","m",1998-11-18,"r","sx","gob","0",NA,1998,"talek",17,-0.14,1999-06-20,2000-04-06,2002-02-09,"dls",NA,NA
"cpal","u",2012-02-03,"r","taj",NA,"0",NA,2012,"serena.s",8,0.12,2012-04-02,NA,2012-04-02,"dls",NA,NA
"cr","f",1993-08-15,"r","ot",NA,"1","1",1993,"talek",8,0.3,1994-04-02,1994-08-01,2002-03-03,"dls",NA,1998-08-11
"crdy","f",2015-11-17,"r","sau",NA,"1","2",2015,"serena.n",7,0.4,2016-07-13,NA,2019-02-16,"dls",NA,NA
"crem","f",2016-06-25,"r","gel","iasi","1","2",2016,"talek",34,-0.11,2017-04-20,2017-06-27,NA,"dls",NA,2021-05-18
"crim","f",2012-07-29,"r","hkr",NA,"1","2",2012,"serena.n",8,0.3,2013-06-27,2013-10-05,2023-03-19,"dls",NA,2017-02-17
"crk","m",1997-06-27,"r","jb",NA,"1","2",1997,"talek",3,0.85,NA,NA,1997-12-24,"dls",NA,NA
"crlk","u",2013-01-17,"r","sbl",NA,"1",NA,2013,"talek",20,0.19,NA,NA,2013-05-03,"dls",NA,NA
"crln","u",1994-07-04,"r","bsh",NA,"1",NA,1994,"talek",1,1,NA,NA,1994-07-18,"dead",NA,NA
"crms","f",2010-12-19,"r","mos",NA,"0",NA,2010,"talek",7,0.57,2011-07-26,2011-07-16,2014-04-03,"dead",NA,2013-06-02
"croc","u",2015-11-19,"r","hex",NA,"1","1",2015,"talek",38,-0.72,NA,2016-04-10,2016-04-14,"dls",NA,NA
"cron","u",2010-12-18,"r","mrph",NA,"1",NA,2010,"talek",1,1,NA,NA,2011-04-13,"dls",NA,NA
"crst","m",2016-10-28,"r","hel",NA,"1","2",2016,"talek",4,0.89,2017-06-16,NA,2021-09-23,"dls",NA,NA
"crtm","u",2011-03-19,"r","ao",NA,"1","2",2011,"happy.zebra",5,0.27,NA,NA,2011-04-17,"dls",NA,NA
"csac","m",2003-05-01,"r","csn",NA,NA,NA,2003,"talek",6,0.37,2003-12-15,2004-04-26,2005-01-29,"dls",NA,NA
"csmo","m",2016-07-20,"r","hwk",NA,"1","2",2016,"happy.zebra",14,-0.3,NA,2017-04-28,2017-06-03,"dls",NA,NA
"csn","f",1998-02-15,"r","bsh","fn","0",NA,1998,"talek",1,1,1998-08-19,1998-12-14,2005-05-03,"dead",NA,2000-08-27
"csp","u",1997-12-11,"r","jab",NA,"0",NA,1997,"talek",8,0.5,NA,NA,1997-12-18,"dls",NA,NA
"cstz","m",2013-04-16,"r","logc",NA,"0",NA,2013,"serena.n",2,0.9,NA,2014-06-18,2016-05-29,"dls",NA,NA
"cten","f",2013-12-20,"r","amaz",NA,"0",NA,2013,"talek",3,0.91,2014-07-24,2014-08-28,2016-10-22,"dls",NA,NA
"ctop","m",2009-11-30,"r","ao",NA,"1","2",2009,"happy.zebra",5,0.27,NA,2010-10-01,2011-10-31,"dls",NA,NA
"ctp","u",2011-02-21,"r","mtn",NA,"1","1",2011,"serena.s",17,-0.88,NA,NA,2011-05-15,"dls",NA,NA
"ctz","f",2004-06-26,"r","ali",NA,"1","1",2004,"talek",7,0.2,2005-04-29,2005-08-02,2006-05-28,"dls",NA,NA
"cuj","m",1997-07-09,"r","kip",NA,"1","2",1997,"talek",7,0.57,1997-12-04,1998-08-06,2001-06-03,"dls",NA,NA
"cy","m",2010-10-30,"r","aqua",NA,"1","1",2010,"talek",9,0.42,2011-05-25,2011-08-09,2016-09-09,"",2013-10-22,NA
"cyan","u",2010-11-08,"r","silk",NA,"2","2",2010,"happy.zebra",11,-0.81,NA,NA,2011-01-05,"dls",NA,NA
"cybr","f",2013-09-20,"r","crms",NA,"0",NA,2013,"talek",10,0.61,2014-12-10,2014-03-26,NA,"dls",NA,2015-09-24
"cyp","m",1999-05-13,"r","bern",NA,"1","1",1999,"talek",31,-1,NA,NA,1999-12-18,"dead",NA,NA
"czar","m",2010-11-09,"r","bart",NA,"1","1",2010,"serena.s",4,0.64,2011-10-07,2011-11-26,2013-02-27,"dls",NA,NA
"dali","u",2001-09-28,"r","hg",NA,"0",NA,2001,"talek",9,0.05,NA,NA,2002-01-01,"dls",NA,NA
"dalt","m",2013-01-14,"r","ink",NA,"1","2",2013,"serena.n",14,-0.3,2013-07-27,2013-11-29,2013-12-08,"dls",NA,NA
"dama","m",2016-06-11,"r","mtn",NA,"0",NA,2016,"serena.s",22,-0.82,NA,NA,2017-01-01,"dls",NA,NA
"dan","m",1999-12-15,"r","who",NA,NA,NA,1999,"talek",4,0.8,2000-07-09,2000-07-08,2001-03-25,"dls",NA,NA
"dang","f",2014-09-11,"r","java",NA,"1","1",2014,"serena.s",1,1,2015-05-13,2015-05-28,2017-09-25,"dls",NA,2016-11-07
"dara","f",2013-02-16,"r","saw",NA,"1","2",2013,"happy.zebra",5,0.33,NA,NA,2013-11-11,"dls",NA,NA
"darw","m",1996-07-01,"r","jb","fa","0",NA,1996,"talek",2,0.93,1996-12-24,1997-06-01,2002-07-05,"dls",2002-03-25,NA
"dawa","f",2013-12-07,"r","snap",NA,"0",NA,2013,"happy.zebra",4,0.5,2014-07-23,2015-08-20,2015-12-01,"dls",NA,NA
"dawn","u",2017-11-23,"r","rumg",NA,"1","2",2017,"happy.zebra",8,0.36,NA,NA,2017-12-23,"dls",NA,NA
"dc2","u",1996-11-04,"r","ger",NA,"0",NA,1996,"talek",13,0.17,NA,NA,1996-11-10,"dead",NA,NA
"dcub","f",1992-02-02,"r","bb","sy","1",NA,1992,"talek",2,0.88,NA,NA,1992-04-14,"dead",NA,NA
"dd","m",1994-07-23,"r","dj","bag","1","2",1994,"talek",6,0.56,1995-03-18,1995-08-30,2000-10-17,"dls",NA,NA
"dds","f",2016-10-11,"r","tnks",NA,"0",NA,2016,"talek",37,-0.22,2017-06-26,NA,2020-10-24,"dls",NA,2019-09-05
"deb","f",1995-11-09,"r","dj","fa","1","1",1995,"talek",8,0.51,1996-06-25,NA,1996-08-12,"dls",NA,NA
"decm","f",2013-01-12,"r","buar",NA,"1",NA,2013,"talek",2,0.95,2013-08-08,2013-10-31,NA,"dls",NA,2014-09-26
"dege","m",2014-09-08,"r","wran",NA,"1",NA,2014,"talek",34,-0.46,2015-07-02,2015-08-26,NA,"dls",NA,NA
"deja","f",2016-05-14,"r","pol","lpr","1","2",2016,"serena.n",12,0,2017-03-14,2017-07-04,NA,"dls",NA,2021-08-02
"del","m",1998-11-10,"r","wr","chas","1","2",1998,"talek",11,0.28,1999-08-02,1999-11-28,2000-11-19,"dls",NA,NA
"deni","u",2014-04-06,"r","ink",NA,"0",NA,2014,"serena.n",12,-0.29,NA,NA,2014-06-28,"dls",NA,NA
"des","m",2004-05-17,"r","mali",NA,"0",NA,2004,"talek",8,0.06,2005-03-29,2005-03-13,2010-07-29,"dls",NA,NA
"desl","f",2011-07-16,"r","ffl",NA,"1","1",2011,"talek",29,-0.47,NA,2012-05-24,2012-06-18,"dls",NA,NA
"deth","f",2013-10-16,"r","komo",NA,"1","1",2013,"serena.s",2,0.88,2014-12-06,2014-07-11,2023-01-22,"dead",NA,2015-10-07
"dg","m",1990-03-22,"r","ot",NA,"1","2",1990,"talek",7,0.4,1991-01-03,1991-06-17,1992-10-06,"dls",NA,NA
"dggr","f",2015-10-28,"r","ink",NA,"1","1",2015,"serena.n",15,-0.4,NA,NA,2016-04-16,"dls",NA,NA
"dh","m",1994-07-07,"r","jab",NA,"1","2",1994,"talek",3,0.82,NA,NA,1994-11-10,"dead",NA,NA
"dil","f",2004-06-23,"r","whh",NA,"1","1",2004,"talek",15,-0.86,NA,NA,2004-12-04,"dls",NA,NA
"dilb","u",2010-11-11,"r","ink",NA,"1","2",2010,"serena.n",11,-0.17,NA,NA,2011-01-05,"dls",NA,NA
"dion","f",2009-08-04,"r","mrph",NA,"0",NA,2009,"talek",1,1,2010-03-26,2010-07-30,2012-03-20,"dls",NA,2011-06-26
"disc","f",2016-10-10,"r","rmon",NA,"1","1",2016,"serena.n",9,0.27,2017-06-30,2017-09-17,NA,"",NA,2022-09-04
"diva","m",2016-05-14,"r","pol",NA,"1","1",2016,"serena.n",12,0,NA,2017-07-04,2019-08-01,"dls",NA,NA
"divr","u",2015-10-21,"r","blg",NA,"1",NA,2015,"serena.s",12,-0.37,NA,NA,2015-12-25,"dls",NA,NA
"dk","f",2011-03-10,"r","cart",NA,"1",NA,2011,"talek",38,-0.94,NA,NA,NA,"dls",NA,2013-08-21
"dm","m",1994-09-08,"r","lg",NA,"1","2",1994,"talek",23,-0.91,NA,NA,1994-11-18,"dead",NA,NA
"dmag","u",2011-11-25,"r","aqua",NA,"1","2",2011,"talek",13,0.36,NA,NA,2012-02-18,"dls",NA,NA
"dna","m",1996-12-23,"r","gil",NA,"1","1",1996,"talek",3,0.86,1997-06-14,1997-07-24,1999-12-09,"dls",NA,NA
"dnz","m",2004-08-07,"r","csn",NA,"1","2",2004,"talek",6,0.33,2005-04-29,NA,2005-05-11,"dead",NA,NA
"dodo","m",2010-03-11,"r","badg",NA,"1","2",2010,"serena.s",13,-0.41,NA,NA,2010-05-09,"dls",NA,NA
"dong","m",2018-12-04,"r","rama",NA,"1","1",2018,"serena.n",20,-0.8,2019-10-13,NA,2022-03-30,"dls",NA,NA
"dood","f",2013-10-20,"r","tru",NA,"1",NA,2013,"serena.s",14,-0.52,NA,NA,2014-07-25,"dls",NA,NA
"doom","m",2018-11-25,"r","silk",NA,"1","2",2018,"happy.zebra",21,-0.73,2019-11-25,NA,2019-10-30,"",NA,NA
"doon","f",2010-11-11,"r","ink",NA,"1","1",2010,"serena.n",11,-0.17,NA,NA,2011-03-11,"dls",NA,NA
"dope","u",2017-04-12,"r","gumy",NA,"0",NA,2017,"serena.n",7,0.42,NA,NA,2017-05-02,"dls",NA,NA
"dora","m",2013-02-21,"r","ali",NA,"0",NA,2013,"talek",27,-0.1,2013-12-30,2014-04-24,NA,"dls",NA,NA
"dork","m",2015-03-15,"r","whiz",NA,"1","2",2015,"serena.s",4,0.62,NA,NA,2015-07-10,"dls",NA,NA
"dra","f",2007-11-15,"r","ali",NA,"1","1",2007,"talek",8,0.06,2008-07-10,2008-12-03,2012-06-12,"dead",NA,2011-06-28
"drco","m",2018-11-03,"r","tula",NA,"0",NA,2018,"happy.zebra",5,0.65,2019-09-16,NA,2022-09-05,"dls",NA,NA
"drew","f",2010-10-17,"r","peep",NA,"1","1",2010,"serena.n",12,-0.29,2011-09-28,NA,2011-11-11,"dls",NA,NA
"drgn","m",2016-12-11,"r","erem",NA,"1","2",2016,"happy.zebra",5,0.6,NA,NA,2017-09-19,"dls",NA,NA
"drog","f",2014-10-27,"r","bnt",NA,"0",NA,2014,"talek",20,0.15,NA,NA,2015-05-03,"dls",NA,NA
"drom","u",2017-01-01,"r","tula",NA,"1","2",2017,"happy.zebra",6,0.54,NA,NA,2017-01-24,"dls",NA,NA
"drp","m",2012-11-05,"r","ema",NA,"0",NA,2012,"serena.n",17,-0.6,NA,NA,2013-06-03,"dls",NA,NA
"drpy","m",2011-09-12,"r","peep",NA,"1","2",2011,"serena.n",13,-0.26,2012-07-14,2012-09-22,2015-03-19,"dls",NA,NA
"dth","m",2009-01-01,"r","sbl",NA,"1","1",2009,"talek",7,0.42,2009-11-24,2009-11-11,2011-11-11,"dls",NA,NA
"duch","u",2015-10-21,"r","blg",NA,"1",NA,2015,"serena.s",12,-0.37,NA,NA,2015-12-17,"dls",NA,NA
"duky","f",2017-08-10,"r","coel",NA,"1","2",2017,"happy.zebra",10,0.18,2018-09-12,NA,NA,"dls",NA,2023-10-19
"dum","m",1994-07-12,"r","bm",NA,"1","1",1994,"talek",19,-0.56,NA,NA,1994-11-30,"dead",NA,NA
"dupe","m",2014-03-17,"r","aqua",NA,"1","1",2014,"talek",13,0.46,2014-11-12,2014-12-19,NA,"dls",NA,NA
"dyl","f",1997-11-15,"r","bail",NA,"1","1",1997,"talek",21,-0.42,1998-10-02,1998-08-10,1998-11-05,"dls",NA,NA
"echo","m",2011-10-16,"r","dra",NA,"1","2",2011,"talek",24,-0.21,2012-06-05,NA,2012-07-08,"dls",NA,NA
"ed","m",1988-10-30,"r","bam",NA,"1","2",1988,"talek",15,-0.33,1989-08-18,NA,1989-11-17,"dead",NA,NA
"eham","u",2016-02-04,"r","lust",NA,"1",NA,2016,"talek",47,-0.55,NA,NA,2016-03-20,"dls",NA,NA
"elec","f",2010-09-05,"r","ojy",NA,"0",NA,2010,"happy.zebra",8,-0.27,2011-07-25,2011-02-12,2012-06-17,"dls",NA,NA
"elsi","f",2014-07-13,"r","digs","lpr","1","2",2014,"serena.n",3,0.76,NA,2015-03-31,2018-07-22,"dls",NA,NA
"elv","u",1990-09-15,"r","mw",NA,"1","2",1990,"talek",4,0.7,NA,NA,1990-11-08,"dead",NA,NA
"embr","m",2015-08-02,"r","saw",NA,"1","1",2015,"happy.zebra",9,0.11,NA,NA,2016-03-17,"dls",NA,NA
"emer","f",1996-02-15,"r","who",NA,"1","1",1996,"talek",4,0.79,NA,NA,1996-04-19,"dead",NA,NA
"eml","u",1998-12-04,"r","who",NA,"0","1",1998,"talek",5,0.71,NA,NA,1999-01-25,"dead",NA,NA
"ency","u",2010-10-17,"r","peep",NA,"1","2",2010,"serena.n",12,-0.29,NA,NA,2011-01-21,"dls",NA,NA
"endr","m",2010-11-01,"r","loki",NA,"1","2",2010,"talek",3,0.85,2011-07-06,2011-08-11,2014-04-03,"dead",NA,NA
"enou","f",2014-09-08,"r","wran",NA,"1",NA,2014,"talek",34,-0.46,NA,2015-07-19,2015-07-21,"dls",NA,NA
"ent","u",1991-01-16,"r","es",NA,"1",NA,1991,"talek",17,-0.6,NA,NA,1991-03-01,"dead",NA,NA
"entr","u",2014-09-18,"r","komo",NA,"2","3",2014,"serena.s",2,0.88,NA,NA,2014-11-13,"dls",NA,NA
"envy","m",2009-05-18,"r","arg",NA,"0",NA,2009,"talek",16,-0.42,NA,2010-02-25,2011-11-19,"",NA,NA
"erek","f",2015-07-26,"r","dk",NA,"1","1",2015,"talek",44,-1,NA,2016-09-02,2018-02-03,"dls",NA,NA
"erem","f",2011-09-26,"r","pike",NA,"1","2",2011,"happy.zebra",2,0.81,2012-07-26,2012-10-03,2021-06-26,"dls",NA,2013-09-03
"ers","u",2016-12-20,"r","csby",NA,"1",NA,2016,"happy.zebra",17,-0.6,NA,NA,2017-01-26,"dls",NA,NA
"esio","m",2017-10-25,"r","crim",NA,"1","2",2017,"serena.n",14,-0.23,NA,NA,2018-09-11,"dls",NA,NA
"euch","m",2013-01-12,"r","csby",NA,"1","1",2013,"happy.zebra",10,-0.5,2013-10-05,2014-08-13,2016-06-15,"dls",NA,NA
"eve","m",1996-12-23,"r","gil",NA,"1","2",1996,"talek",3,0.86,NA,NA,1997-04-21,"dead",NA,NA
"evil","f",2014-05-10,"r","slin",NA,"0",NA,2014,"serena.s",6,0.44,2015-03-22,2015-05-17,2016-06-10,"dls",NA,NA
"ewar","m",2013-07-27,"r","mt",NA,"0",NA,2013,"talek",17,0.31,NA,NA,2014-04-28,"dead",NA,NA
"eyr","m",1994-01-17,"r","lg",NA,"1",NA,1994,"talek",23,-0.91,NA,NA,1994-02-22,"dead",NA,NA
"ezra","f",2018-08-02,"r","lcs",NA,"1",NA,2018,"serena.n",22,-1,NA,NA,2019-02-10,"dls",NA,NA
"fabl","f",2015-01-07,"r","atac",NA,"0",NA,2015,"talek",7,0.72,NA,2015-09-09,2015-12-27,"dls",NA,NA
"fay","f",2014-01-28,"r","atac",NA,"0",NA,2014,"talek",6,0.77,2014-08-24,2014-11-12,NA,"dls",NA,2016-10-07
"fd","f",1993-09-07,"r","es",NA,"1","2",1993,"talek",19,-0.8,1994-04-13,NA,1994-05-23,"dead",NA,NA
"femi","f",2018-01-18,"r","pike",NA,"1","1",2018,"happy.zebra",1,1,2018-09-14,NA,2020-08-21,"dls",NA,NA
"ferg","m",2015-12-01,"r","wafl",NA,"1","1",2015,"serena.n",1,1,2016-07-13,2016-09-07,2020-08-26,"dls",NA,NA
"fett","u",2011-11-08,"r","guci",NA,"1","2",2011,"talek",20,0,NA,NA,2012-01-21,"dls",NA,NA
"ffl","f",2003-06-28,"r","mp",NA,"1","1",2003,"talek",11,-0.25,2004-04-29,2004-06-23,2021-02-19,"dls",NA,2006-11-11
"fg","f",1990-03-22,"r","ot",NA,"1","1",1990,"talek",7,0.4,1991-01-03,NA,1991-03-15,"dead",NA,NA
"fitz","m",2015-11-30,"r","hel",NA,"0",NA,2015,"talek",4,0.86,NA,NA,2016-06-15,"dls",NA,NA
"flil","f",2015-02-28,"r","maa",NA,"1","1",2015,"talek",21,0.06,2016-03-16,2015-10-20,2018-10-18,"dls",NA,2017-07-11
"flit","f",2014-01-21,"r","juno",NA,"1","1",2014,"talek",5,0.82,2014-08-24,2015-01-17,2020-04-18,"dls",NA,2016-08-24
"fljo","m",2013-02-19,"r","baez",NA,"0",NA,2013,"talek",43,-0.78,2013-09-30,2013-08-31,2014-04-12,"dead",NA,NA
"flur","f",2016-10-29,"r","yog",NA,"1","1",2016,"talek",40,-0.32,2017-08-04,NA,2021-09-06,"dls",NA,NA
"flws","m",2014-07-15,"r","pol",NA,"0",NA,2014,"serena.n",9,0.05,NA,2015-10-11,2018-02-10,"dls",NA,NA
"foz","m",1997-12-15,"r","hob","mike","1",NA,1997,"talek",24,-0.64,1998-10-21,1999-01-11,2011-03-28,"dead",NA,NA
"fp","f",1990-12-15,"r","kb","65","0","1",1990,"talek",2,0.9,NA,NA,1991-08-29,"dead",NA,NA
"fras","f",2010-08-29,"r","spb",NA,"1","1",2010,"happy.zebra",9,-0.45,2011-07-13,2011-07-19,2011-12-13,"dls",NA,NA
"frdn","m",2012-10-01,"r","silk",NA,"0",NA,2012,"happy.zebra",12,-0.83,2013-09-05,2013-09-21,2015-07-21,"dls",NA,NA
"frnc","u",1997-03-24,"r","gol",NA,"1",NA,1997,"talek",23,-0.57,NA,NA,1997-05-02,"dls",NA,NA
"fro","m",1988-10-30,"r","es",NA,"1","1",1988,"talek",9,0.23,1989-08-17,1989-12-01,1991-08-16,"dls",1991-08-16,NA
"frri","f",2016-12-28,"r","bban",NA,"1","1",2016,"serena.s",7,0.47,2017-08-12,NA,2018-06-13,"dls",NA,NA
"frsd","u",2015-03-10,"r","ink",NA,"2",NA,2015,"serena.n",15,-0.4,NA,NA,2015-04-10,"dls",NA,NA
"frst","m",1996-02-15,"r","who",NA,"1","2",1996,"talek",4,0.79,NA,NA,1996-04-19,"dead",NA,NA
"frta","f",2016-10-01,"r","tgpi",NA,"1","1",2016,"talek",25,0.18,2018-10-22,NA,2018-02-22,"dls",NA,NA
"fry","m",2014-07-19,"r","styr",NA,"1",NA,2014,"talek",8,0.68,NA,2016-03-10,2017-01-03,"dls",NA,NA
"frza","f",2015-03-22,"r","alfe",NA,"0",NA,2015,"talek",25,-0.11,NA,2015-09-24,2015-12-01,"dls",NA,NA
"fsh","u",1995-03-13,"r","23s",NA,"1",NA,1995,"talek",23,-0.51,NA,NA,1995-03-26,"dead",NA,NA
"fush","m",2012-12-06,"r","mos",NA,"1",NA,2012,"talek",11,0.6,NA,NA,2013-06-14,"dls",NA,NA
"fuzz","f",2011-08-27,"r","ink",NA,"1","1",2011,"serena.n",12,-0.15,2012-02-27,2012-09-25,2020-10-15,"dls",NA,2014-07-27
"fxtr","f",2011-10-16,"r","dra","tija","1","1",2011,"talek",24,-0.21,2012-06-05,2012-06-10,2016-05-09,"dls",NA,NA
"fy","m",1990-10-07,"r","dj",NA,"1","2",1990,"talek",3,0.8,NA,NA,1990-12-06,"dead",NA,NA
"fyre","f",2013-10-16,"r","komo",NA,"1","2",2013,"serena.s",2,0.88,NA,2014-06-27,2018-05-13,"dls",NA,NA
"gala","f",2012-01-06,"r","hel","kto","0",NA,2012,"talek",2,0.96,2012-09-15,2012-07-17,2014-04-12,"dead",NA,NA
"gan","f",1988-10-30,"r","es",NA,"1","2",1988,"talek",9,0.23,1989-06-07,1989-12-01,1994-08-02,"dls",NA,NA
"garf","f",2016-10-04,"r","ink",NA,"1","2",2016,"serena.n",15,-0.27,2017-07-08,NA,NA,"",NA,2020-07-27
"gata","f",2016-06-23,"r","komo",NA,"1","2",2016,"serena.s",3,0.82,NA,2017-01-24,2017-03-11,"dls",NA,NA
"gazr","m",2014-09-18,"r","komo",NA,"2","2",2014,"serena.s",2,0.88,2015-05-18,2016-01-13,2022-04-07,"dls",NA,NA
"gbb","u",2014-12-01,"r","sau",NA,"0",NA,2014,"serena.n",6,0.41,NA,2015-07-24,2016-01-29,"dls",NA,NA
"gdfi","m",2012-11-25,"r","roos",NA,NA,NA,2012,"talek",49,-0.92,NA,2013-10-12,NA,"",NA,NA
"gdz","m",1998-12-03,"r","kip","tz","1","2",1998,"talek",8,0.5,1999-07-19,1999-07-01,2000-09-29,"dls",NA,NA
"ge","f",2009-12-25,"r","adon",NA,"1","2",2009,"talek",6,0.52,2010-07-08,2011-01-03,2012-07-14,"dls",NA,NA
"gel","f",2009-01-05,"r","guci",NA,"1","2",2009,"talek",10,0.14,2009-07-30,2010-01-27,2021-07-27,"dls",NA,2012-11-26
"ger","f",1992-11-07,"r","coch","en","1","1",1992,"talek",5,0.55,1993-06-08,1993-12-01,2005-06-02,"dead",NA,1996-07-17
"gfis","f",2011-07-04,"r","csby",NA,"1","2",2011,"happy.zebra",10,-0.63,2012-05-24,2012-08-21,2013-06-25,"dls",NA,NA
"gfk","u",2013-01-12,"r","zoey",NA,"1","2",2013,"serena.n",5,0.6,NA,NA,2013-04-13,"dls",NA,NA
"gg","u",1994-07-04,"r","bsh",NA,"1",NA,1994,"talek",1,1,NA,NA,1994-07-18,"dead",NA,NA
"gho","f",1995-10-16,"r","ot",NA,"1","1",1995,"talek",16,-0.03,NA,NA,1996-04-16,"dead",NA,NA
"gil","f",1992-08-01,"r","bsh",NA,"0","1",1992,"talek",1,1,1993-03-21,1993-03-26,1998-10-26,"dls",NA,1994-09-02
"gili","f",2015-07-25,"r","java",NA,"0",NA,2015,"serena.s",1,1,2016-01-06,2016-04-18,2018-03-12,"dls",NA,NA
"gin","f",1988-11-22,"r","dps",NA,"0","1",1988,"talek",20,-0.8,1989-06-26,1990-04-04,1990-09-20,"dead",NA,NA
"glac","m",2009-01-01,"r","sbl",NA,"1","2",2009,"talek",7,0.42,2009-08-10,2009-11-11,2010-02-02,"dls",NA,NA
"glet","m",2010-10-13,"r","snap",NA,"1",NA,2010,"happy.zebra",3,0.63,2011-10-13,2011-03-10,2012-05-07,"dls",NA,NA
"glo","f",2016-10-28,"r","neon",NA,"1","2",2016,"talek",33,-0.08,2017-07-19,NA,NA,"dls",NA,2019-07-21
"gloc","f",2010-10-05,"r","angi",NA,NA,NA,2010,"serena.n",8,0.17,2011-10-05,2011-07-14,2011-08-07,"dls",NA,NA
"glxy","u",2011-11-02,"r","bab",NA,"1","1",2011,"talek",35,-0.78,2012-09-06,2012-12-08,2013-02-22,"dls",NA,NA
"gng","m",2014-03-23,"r","neon",NA,"0",NA,2014,"talek",24,-0.02,2014-11-13,2014-11-06,2017-11-17,"dls",NA,NA
"gnug","m",2014-06-15,"r","taj",NA,"1","2",2014,"serena.s",11,-0.11,2014-11-14,2015-06-20,2017-07-24,"dls",NA,NA
"goat","f",2018-11-03,"r","jlyr",NA,"0",NA,2018,"happy.zebra",9,0.3,2019-11-03,NA,2020-03-01,"dls",NA,NA
"gobe","m",2012-08-10,"r","lcs",NA,"0",NA,2012,"serena.n",21,-1,2013-02-12,2013-05-29,2017-04-02,"dls",NA,NA
"gobi","f",2010-12-24,"r","cen",NA,"0",NA,2010,"talek",6,0.64,2011-09-19,2011-08-26,2012-05-15,"dls",NA,NA
"gobr","m",2018-01-31,"r","sau",NA,"1","2",2018,"serena.n",5,0.61,NA,NA,2018-04-30,"dls",NA,NA
"gofa","f",2013-12-08,"r","bora","elpo","1","1",2013,"talek",23,0.06,2014-07-07,2014-07-06,NA,"dls",NA,2017-02-02
"gol","f",1991-07-20,"r","es","fn","1","1",1991,"talek",17,-0.6,1992-04-07,1992-10-01,2001-03-14,"dead",NA,1994-10-02
"gold","u",2012-01-02,"r","spb",NA,NA,NA,2012,"happy.zebra",10,-0.5,NA,NA,2012-04-13,"dls",NA,NA
"goli","m",2016-05-31,"r","arba",NA,"1","1",2016,"happy.zebra",3,0.8,2017-02-18,2017-01-12,2023-06-17,"dls",2020-01-02,NA
"gonz","m",1996-09-06,"r","hob","tz","0",NA,1996,"talek",27,-0.79,1997-05-13,1997-09-15,1999-03-20,"dls",NA,NA
"goof","f",2012-11-12,"r","juno","wrwk",NA,NA,2012,"talek",5,0.84,NA,2013-10-24,2017-05-09,"",NA,2014-08-23
"goon","f",2016-10-28,"r","muon",NA,"0",NA,2016,"happy.zebra",16,-0.5,NA,NA,2017-12-26,"dls",NA,NA
"grif","f",2010-10-25,"r","pan",NA,"1","2",2010,"talek",5,0.71,2011-09-22,2011-08-23,2012-04-12,"dls",NA,NA
"grna","f",2018-07-28,"r","wafl",NA,"1","2",2018,"serena.n",1,1,2019-03-17,NA,NA,"",NA,2022-07-05
"grnc","m",2012-11-10,"r","tpe",NA,"1",NA,2012,"talek",14,0.48,NA,NA,2013-06-29,"dls",NA,NA
"grz","m",2009-12-01,"r","sau",NA,"1","2",2009,"serena.n",6,0.41,2010-12-01,2010-09-01,2010-12-28,"dls",NA,NA
"gsmk","f",2011-12-02,"r","sbl","dub","1","2",2011,"talek",17,0.15,2012-07-18,2012-10-13,2013-08-17,"dls",NA,NA
"guci","f",2004-02-05,"r","zc","ade","0",NA,2004,"talek",5,0.46,2004-09-01,2005-05-14,2012-01-29,"dead",NA,2006-08-13
"gui","f",1999-02-12,"r","amar","chas","1","1",1999,"talek",21,-0.33,1999-10-28,2000-02-22,2003-02-14,"dead",NA,2002-05-07
